epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.88094,2.10873,3.93441,2.24708,0.01232,1,0.30173,0.13436,1.56159,4.32336,1.96673,7.777e-05,7.777e-05,7.777e-05
2,10.4849,1.63264,3.65424,1.83979,0.02344,1,0.34148,0.24894,0.72065,3.88504,1.25847,0.00016555,0.00016555,0.00016555
3,15.1297,1.31687,3.00621,1.56758,0.01035,1,0.48658,0.32219,0.91314,3.78236,1.26603,0.000252157,0.000252157,0.000252157
4,19.4747,1.32454,2.57623,1.58252,0.00481,1,0.47077,0.27592,1.28009,3.66329,1.62401,0.000337591,0.000337591,0.000337591
5,23.6653,1.2935,2.43567,1.53087,0.53639,0.11667,0.30849,0.11533,1.85826,3.88614,2.23801,0.000421851,0.000421851,0.000421851
6,27.8178,1.31862,2.19634,1.5628,0.98936,0.16,0.67743,0.42478,1.16599,3.29746,1.53135,0.000504938,0.000504938,0.000504938
7,31.9993,1.33154,2.1896,1.56298,0.85003,0.21828,0.5262,0.27976,1.49007,3.47846,1.90774,0.000586852,0.000586852,0.000586852
8,36.0542,1.33209,2.09472,1.50863,0.72366,0.34667,0.7109,0.44644,1.08704,2.89313,1.49701,0.000667593,0.000667593,0.000667593
9,40.2457,1.30171,1.91813,1.51668,0.83278,0.42818,0.69856,0.472,1.08545,2.79802,1.46108,0.000747161,0.000747161,0.000747161
10,44.7034,1.22298,1.85785,1.45409,0.66072,0.59583,0.68455,0.40874,1.35132,2.70264,1.62742,0.000825555,0.000825555,0.000825555
11,48.9638,1.26459,1.82055,1.49335,0.65317,0.6542,0.65728,0.31907,1.84004,2.74272,2.15876,0.000902776,0.000902776,0.000902776
12,53.0791,1.27336,1.80946,1.49907,0.39651,0.30331,0.31756,0.08956,2.97964,3.93125,3.95817,0.000978824,0.000978824,0.000978824
13,57.1511,1.30124,1.73785,1.51629,0.68904,0.6408,0.7187,0.46816,1.33167,2.26986,1.604,0.00102301,0.00102301,0.00102301
14,61.3575,1.23754,1.71487,1.46669,0.66149,0.61709,0.67648,0.44705,1.34997,2.34459,1.63189,0.00101568,0.00101568,0.00101568
15,65.6018,1.22041,1.65935,1.46948,0.65348,0.72501,0.75714,0.44377,1.18979,2.57153,1.4967,0.00100834,0.00100834,0.00100834
16,69.739,1.1738,1.52702,1.41759,0.76984,0.47293,0.72907,0.51637,1.06468,2.24813,1.43456,0.00100101,0.00100101,0.00100101
17,73.9739,1.23592,1.49095,1.46989,0.52747,0.69532,0.7142,0.46493,1.1925,2.13653,1.5441,0.000993678,0.000993678,0.000993678
18,78.1142,1.17206,1.44999,1.36886,0.5779,0.63718,0.6829,0.30121,1.83037,2.7203,2.05664,0.000986346,0.000986346,0.000986346
19,82.2409,1.18793,1.46119,1.42333,0.72462,0.82398,0.74384,0.55197,1.12058,1.82649,1.61853,0.000979013,0.000979013,0.000979013
20,86.3752,1.18471,1.45771,1.42669,0.75853,0.63469,0.84983,0.61626,1.06959,1.83349,1.56779,0.000971681,0.000971681,0.000971681
21,90.5935,1.15329,1.48973,1.41185,0.72995,0.70779,0.7551,0.41142,1.44269,2.18432,1.72129,0.000964348,0.000964348,0.000964348
22,94.6769,1.17981,1.42644,1.39644,0.79098,0.75253,0.83831,0.52702,1.27778,1.58565,1.60473,0.000957015,0.000957015,0.000957015
23,98.7176,1.1897,1.29284,1.41759,0.81672,0.53728,0.67127,0.39011,1.49449,1.97497,1.67841,0.000949683,0.000949683,0.000949683
24,102.77,1.14311,1.3292,1.38056,0.85098,0.69283,0.8319,0.61909,0.98226,1.34199,1.32517,0.00094235,0.00094235,0.00094235
25,106.997,1.10541,1.19503,1.3367,0.68805,0.90331,0.80761,0.58625,1.12346,1.458,1.39088,0.000935018,0.000935018,0.000935018
26,110.955,1.16696,1.30166,1.44825,0.84832,0.81445,0.76102,0.52839,1.2568,1.45646,1.56426,0.000927685,0.000927685,0.000927685
27,115.065,1.16796,1.24252,1.39179,0.8404,0.71157,0.82316,0.53325,1.21538,1.66006,1.51469,0.000920352,0.000920352,0.000920352
28,119.166,1.15662,1.21517,1.35962,0.66142,0.65923,0.79266,0.61168,0.95125,1.64018,1.39177,0.00091302,0.00091302,0.00091302
29,123.211,1.06913,1.1297,1.32442,0.7995,0.63133,0.80615,0.59996,1.00022,1.61963,1.3651,0.000905687,0.000905687,0.000905687
30,127.27,1.06561,1.14944,1.34075,0.56094,0.80774,0.84315,0.60036,1.08394,1.73027,1.45593,0.000898355,0.000898355,0.000898355
31,131.29,1.04645,1.087,1.32002,0.67539,0.82443,0.83347,0.59124,1.20858,1.66732,1.58221,0.000891022,0.000891022,0.000891022
32,135.442,1.08291,1.04035,1.30872,0.74455,0.86389,0.86578,0.62837,1.16412,1.40586,1.4274,0.000883689,0.000883689,0.000883689
33,139.603,1.11418,1.05098,1.35063,0.68378,0.7837,0.82599,0.59679,1.10232,1.74091,1.42371,0.000876357,0.000876357,0.000876357
34,143.654,1.07439,1.08859,1.33082,0.83825,0.82051,0.90906,0.65197,1.11206,1.18281,1.46718,0.000869024,0.000869024,0.000869024
35,147.889,1.06205,1.00257,1.30731,0.67109,0.84746,0.88063,0.66136,0.92487,1.3766,1.32308,0.000861692,0.000861692,0.000861692
36,152.201,1.11472,0.99484,1.368,0.8237,0.92401,0.9451,0.70862,1.02668,1.10336,1.38121,0.000854359,0.000854359,0.000854359
37,156.481,1.05485,1.01736,1.3232,0.78859,0.8071,0.85575,0.63249,0.97223,1.17352,1.35179,0.000847026,0.000847026,0.000847026
38,160.63,1.08081,1.01208,1.32207,0.87517,0.66247,0.88662,0.65564,1.03826,1.32022,1.38633,0.000839694,0.000839694,0.000839694
39,164.818,1.02996,0.96972,1.30793,0.87857,0.71782,0.87493,0.66083,0.98802,1.25704,1.36462,0.000832361,0.000832361,0.000832361
40,169.244,1.02405,0.97186,1.29016,0.91646,0.81606,0.93307,0.70845,0.95931,0.96655,1.39139,0.000825029,0.000825029,0.000825029
41,173.513,0.95963,0.91957,1.29062,0.69828,0.79579,0.91467,0.74323,0.86239,1.34451,1.24401,0.000817696,0.000817696,0.000817696
42,177.728,0.9556,0.92087,1.22633,0.87181,0.91734,0.9625,0.77327,0.82674,0.79668,1.23301,0.000810363,0.000810363,0.000810363
43,181.992,0.97819,0.89815,1.27543,0.78463,0.73399,0.81509,0.60801,0.97237,1.47026,1.3092,0.000803031,0.000803031,0.000803031
44,186.107,1.05082,0.93717,1.31018,0.74454,0.82141,0.91794,0.68967,0.93495,1.12687,1.2924,0.000795698,0.000795698,0.000795698
45,190.259,0.96847,0.8286,1.26442,0.65782,0.91893,0.84595,0.60936,1.09173,1.08468,1.3476,0.000788366,0.000788366,0.000788366
46,194.453,0.94367,0.82198,1.22636,0.80481,0.71237,0.81521,0.58006,1.09334,1.28354,1.35643,0.000781033,0.000781033,0.000781033
47,198.825,0.96927,0.83522,1.26014,0.74877,0.66285,0.7176,0.39663,1.84364,1.46107,1.94897,0.0007737,0.0007737,0.0007737
48,203.137,1.022,0.83471,1.27397,0.69085,0.88151,0.952,0.74336,0.92671,0.95025,1.33126,0.000766368,0.000766368,0.000766368
49,207.203,0.93181,0.79403,1.24567,0.83241,0.80962,0.92635,0.68939,0.99972,1.10311,1.32953,0.000759035,0.000759035,0.000759035
50,211.405,0.93838,0.79092,1.23186,0.79462,0.79913,0.92053,0.71598,0.93846,1.09254,1.3507,0.000751703,0.000751703,0.000751703
51,215.581,0.92759,0.82027,1.20844,0.88192,0.69562,0.93024,0.74378,0.87433,1.07376,1.2577,0.00074437,0.00074437,0.00074437
52,219.827,0.96977,0.84518,1.27435,0.65828,0.83406,0.9179,0.75884,0.78522,1.11916,1.24074,0.000737037,0.000737037,0.000737037
53,223.952,0.86965,0.79084,1.2005,0.73238,0.83371,0.9256,0.68239,1.11206,1.15525,1.37558,0.000729705,0.000729705,0.000729705
54,228.308,0.92125,0.79812,1.23077,0.80886,0.93076,0.95676,0.76134,0.85208,0.78074,1.24233,0.000722372,0.000722372,0.000722372
55,232.501,0.8901,0.75474,1.20398,0.83583,0.8133,0.92667,0.75143,0.78931,0.94009,1.2233,0.00071504,0.00071504,0.00071504
56,236.685,0.90717,0.77887,1.22826,0.93817,0.88184,0.95,0.72762,0.88974,0.86915,1.29916,0.000707707,0.000707707,0.000707707
57,240.735,0.87033,0.75712,1.19798,0.91172,0.77106,0.94152,0.77156,0.75869,0.83301,1.23222,0.000700374,0.000700374,0.000700374
58,244.787,0.81186,0.68668,1.16714,0.71917,0.94892,0.92532,0.74334,0.7811,0.85848,1.22286,0.000693042,0.000693042,0.000693042
59,248.83,0.84647,0.71118,1.18711,0.87751,0.84435,0.94524,0.78141,0.74551,0.66785,1.20302,0.000685709,0.000685709,0.000685709
60,252.991,0.86332,0.70875,1.20024,0.93919,0.87211,0.9669,0.7661,0.88448,0.66453,1.28606,0.000678377,0.000678377,0.000678377
61,257.118,0.84407,0.70387,1.15676,0.93067,0.85769,0.9469,0.76947,0.83877,0.76396,1.25637,0.000671044,0.000671044,0.000671044
62,261.412,0.85786,0.68037,1.18703,0.93575,0.81484,0.94722,0.72974,0.91645,0.81694,1.29959,0.000663711,0.000663711,0.000663711
63,265.531,0.89839,0.7489,1.20227,0.88541,0.86805,0.90796,0.69572,0.94911,0.86527,1.34625,0.000656379,0.000656379,0.000656379
64,269.636,0.84929,0.70003,1.14922,0.94058,0.90907,0.95652,0.76487,0.83629,0.67898,1.24975,0.000649046,0.000649046,0.000649046
65,273.69,0.87566,0.73337,1.18683,0.80544,0.87529,0.91453,0.73217,0.91082,0.7663,1.29823,0.000641714,0.000641714,0.000641714
66,277.752,0.88656,0.74788,1.20332,0.79371,0.84538,0.89186,0.7344,0.75411,0.83136,1.16969,0.000634381,0.000634381,0.000634381
67,281.949,0.8816,0.70851,1.17637,0.75871,0.9478,0.92264,0.76513,0.81624,0.76611,1.21709,0.000627048,0.000627048,0.000627048
68,286.218,0.83483,0.70249,1.20818,0.73036,0.86183,0.88844,0.77456,0.6774,0.76376,1.13351,0.000619716,0.000619716,0.000619716
