IN_OUT,Board_No,Address,WIRE_NUM,NAME,REMARK
0,0,0,X100,X100_CP01_AX_MAIN_SMPS_CHECK_POWER_SIG,
0,0,1,X101,X101_CP02_AX_ROBOT_1_DC_LINE_CHECK_POWER_SIG,
0,0,2,X102,X102_CP03_AX_ROBOT_2_DC_LINE_CHECK_POWER_SIG,
0,0,3,X103,X103_CP04_AX_ROBOT_3_DC_LINE_CHECK_POWER_SIG,
0,0,4,X104,X104_CP05_AX_ROBOT_4_DC_LINE_CHECK_POWER_SIG,
0,0,5,X105,X105_CP06_AX_FAN_CHECK_POWER_SIG,
0,0,6,X106,X106_SPARE,
0,0,7,X107,X107_SPARE,
0,0,8,X108,X108_SPARE,
0,0,9,X109,X109_SPARE,
0,0,10,X110,X110_SPARE,
0,0,11,X111,X111_SPARE,
0,0,12,X112,X112_SPARE,
0,0,13,X113,X113_SPARE,
0,0,14,X114,X114_SPARE,
0,0,15,X115,X115_SPARE,
0,0,16,X116,X116_PRINTER_OF_3D_1_1_DOOR_OPEN_BACKWARD_Cylinder_SNS,
0,0,17,X117,X117_PRINTER_OF_3D_1_1_DOOR_CLOSE_FORWARD_Cylinder_SNS,
0,0,18,X118,X118_PRINTER_OF_3D_1_2_DOOR_OPEN_BACKWARD_Cylinder_SNS,
0,0,19,X119,X119_PRINTER_OF_3D_1_2_DOOR_CLOSE_FORWARD_Cylinder_SNS,
0,0,20,X120,X120_PRINTER_OF_3D_1_3_DOOR_OPEN_BACKWARD_Cylinder_SNS,
0,0,21,X121,X121_PRINTER_OF_3D_1_3_DOOR_CLOSE_FORWARD_Cylinder_SNS,
0,0,22,X122,X122_PRINTER_OF_3D_1_4_DOOR_OPEN_BACKWARD_Cylinder_SNS,
0,0,23,X123,X123_PRINTER_OF_3D_1_4_DOOR_CLOSE_FORWARD_Cylinder_SNS,
0,0,24,X124,X124_PRINTER_OF_3D_1_5_DOOR_OPEN_BACKWARD_Cylinder_SNS,
0,0,25,X125,X125_PRINTER_OF_3D_1_5_DOOR_CLOSE_FORWARD_Cylinder_SNS,
0,0,26,X126,X126_PRINTER_OF_3D_1_6_DOOR_OPEN_BACKWARD_Cylinder_SNS,
0,0,27,X127,X127_PRINTER_OF_3D_1_6_DOOR_CLOSE_FORWARD_Cylinder_SNS,
0,0,28,X128,X128_PRINTER_OF_3D_1_7_DOOR_OPEN_BACKWARD_Cylinder_SNS,
0,0,29,X129,X129_PRINTER_OF_3D_1_7_DOOR_CLOSE_FORWARD_Cylinder_SNS,
0,0,30,X130,X130_PRINTER_OF_3D_1_8_DOOR_OPEN_BACKWARD_Cylinder_SNS,
